"arquivo","candidato_titulo_ou_pessoal","texto_extraido","denominacao_verificada","horas_detectadas","horas_coursera","estimativa_horas_coursera","tempo_coursera","urls","url_verificacao","erro_extracao"
" GIACC_Corruption Investigation in Construction Certificate.pdf","false","true","","","","","","","",""
" SFE_Associate Certificate.pdf","false","true","","","","","","","",""
"$088.317.986.50-Pedro Lamounier Sampaio-Direito-hist-escolar-VersaoImpressao.pdf","true","true","","","","","","https://assinador.pucminas.br/validate | https://assinador.pucminas.br/validate/EAYPB-QRT2L-YY5DQ-88JBZ","",""
"0014121 - Certificate - Lead Auditor ISO 7101-2023.pdf","false","true","","","","","","","",""
"3448359355PL.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"409b461e-3588-410d-be97-61f487fef14c_6627b1eaf4f243b8b85c17c65e3d4be2.png","false","false","","","","","","","",""
"4518298680PL - Enrolment Declaration.pdf","true","true","","","","","","","",""
"593472_certificate_11159_1781918434191.pdf","false","true","","","","","","","",""
"5fa6c03e-73b7-4324-abd4-707ba0228f20_59c2dffc263f41ea852e7842c0dfb248_42001AIGPF.png","false","false","","","","","","","",""
"6S Green Belt_Certificado do LinkedIn Learning.pdf","false","true","","2","","","","","",""
"7912824741PL - Certificate in Regulatory Compliance (MTF).pdf","false","true","","","","","","","",""
"983965_full_size_certificate_11159_1781918233780.pdf","false","true","","","","","","","",""
"_Curso_de_Inspeção_Sanitária_em_Serviços_de_Interesse_da_Saúde-CERTIFICADO_Curso_de_Inspeção_Sanitária_em_Serviços_de_Interesse_da_Saúde_44360.pdf","false","true","","30","","","","","",""
"Accenture_360 view of GenAI_Certificate.pdf","true","true","","0.35","","","","","",""
"Accenture_AI_Accountability and regulation_Certificate.pdf","true","true","","0.5","","","","","",""
"Accenture_CT_Evaluating AI outputs_Course certificate_.pdf","true","true","","0.35","","","","","",""
"Accenture_CT_Identifying AI risks_Course Certificate.pdf","true","true","","0.35","","","","","",""
"Accenture_Goodwall Learn With Accenture Challenge Completion certificate (15).pdf","true","true","","0.5","","","","","",""
"Accenture_Responsible AI_Course Certificate.pdf","true","true","","0.35","","","","","",""
"ACCME.IACET_CE Health Literacy for Public Health Professionals Certificate.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"ALA Code of Ethics-signed.pdf","false","true","","","","","","","",""
"Alison-Transcript-5581-49836225_Compliance Excellence.pdf","true","true","","","","","","https://alison.com/verify/87dceb97f2","",""
"Alison-Transcript-6074-49836225_ISO 19011 Lead Auditor.pdf","true","true","","","","","","https://alison.com/verify/edbd6338fd","",""
"Alison-Transcript-7483-49836225_ISO 9001-2015.pdf","true","true","","","","","","https://alison.com/verify/e60ba97992","",""
"Alison_Certificate-5581-49836225_Compliance Excellence.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Alison_Certificate-6074-49836225_ISO 19011 Lead Auditor.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Alison_Certificate-7483-49836225_ISO 9001-2015.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"AMA-CME_PAH Risk Assessment Treatments.pdf","false","true","","","","","","","",""
"Anato_Cert-692737-01935-3059043.pdf","false","false","","","","","","","",""
"anatomia-humana.pdf","true","true","","60","","","","","",""
"Anatomia_GCO_Certificado.pdf","true","true","","120","","","","","",""
"Anatomia_GCO_Certificado_assinado.pdf","true","true","","120","","","","","",""
"APC - Visualizar Entrega Relatorio - Estágio UBS Novo Riacho.pdf","true","true","","","","","","","",""
"Asbestos_Safety_Certificate.pdf","false","true","","","","","","","",""
"Ata de Defesa de Tese_MPGOS - PEDRO LAMOUNIER SAMPAIO.jpeg","false","false","","","","","","","",""
"AVASUS-UFRN_AUDSUS Apresentacao_Certificado.pdf","true","true","","20","","","","https://avasus.ufrn.br/mod/certificate/validar.php","",""
"AVASUS-UFRN_AUDSUS_Auditoria de Riscos_Certificado.pdf","true","true","","20","","","","https://avasus.ufrn.br/mod/certificate/validar.php","",""
"AVASUS-UFRN_Financas SUS_Certificado.pdf","true","true","","20","","","","https://avasus.ufrn.br/mod/certificate/validar.php","",""
"AVASUS-UFRN_Segurança do paciente - Certificado de Conclusão.pdf","true","true","","15","","","","https://avasus.ufrn.br/mod/certificate/validar.php","",""
"AVASUS-UFRN_Suporte Básico de Vida_Certificado de Conclusão.pdf","true","true","","30","","","","https://avasus.ufrn.br/mod/certificate/validar.php","",""
"Beige Gold Aesthetic Business Online Course Certificate.png","false","false","","","","","","","",""
"BIFPC_ProCert_Badge_17d1db21-f883-4578-a063-a32302e57ac1_48a1448ff290412e8293a18d36b55a0b.png","false","false","","","","","","","",""
"BMCEPC_PEDRO_LAMOUNIER_SAMPAIO_Business_Model_Canvas_Essentials_-_Production.pdf","false","false","","","","","","","",""
"BSI-Coursera ISO 42001 Readiness Specialization Certificate K99N55L2EZNG.pdf","false","true","AI Governance & ISO 42001 Readiness for GRC, Audit, & Legal","","40","40","1 meses com 10 por semana para concluir","","https://www.coursera.org/account/accomplishments/specialization/K99N55L2EZNG",""
"BSI-Coursera_AIMS Essentials Certificate_7M8MXVWELB5L.pdf","false","true","AI Management Essentials: Integrating ISO 42001 & ISO 23894","","5","","","","https://www.coursera.org/account/accomplishments/verify/7M8MXVWELB5L",""
"BSI-Coursera_AISIA_Certificate JMK7JAW5O7R9.pdf","false","true","AI System Impact Assessment Guidance","","2","","","","https://www.coursera.org/account/accomplishments/verify/JMK7JAW5O7R9",""
"BSI-Coursera_EU AI Act_CertificateE0NA98PI4EVM.pdf","false","true","Understanding the Foundations of the EU AI Act","","2","","","","https://www.coursera.org/account/accomplishments/verify/E0NA98PI4EVM",""
"BSI-Coursera_Intro ISO 22989 Certificate_3HLETUDTZKS9.pdf","false","true","ISO/IEC 22989:2023 An Introduction to the Fundamentals of AI","3","5","","","","https://www.coursera.org/account/accomplishments/verify/3HLETUDTZKS9",""
"BV_Auditorias Internas_Certificado.pdf","false","true","","","","","","","",""
"BV_Masterclass_SST_Certificado.pdf","false","true","","","","","","","",""
"BV_Processo de Certificação_Certificado.pdf","false","true","","","","","","","",""
"BV_Workshop NR-01 e SST_Certificad.pdf","false","true","","","","","","","",""
"Cambridge ESOL Lv. 1 Certificate in ESOL International.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"CAPC_PEDRO_LAMOUNIER_SAMPAIO_Cybersecurity_Awareness_-_Production.pdf","false","false","","","","","","","",""
"Carta de Aceite - CISMED 2026.pdf","false","true","","","","","","","",""
"CDC Train Certificate - Public Health and the US Constitution_.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"CDC Train Certificate of Completion - Preemption and Public Health.pdf","false","true","","","","","","","",""
"CDC Train Certificate_ Legal Epidemiology.pdf","false","true","","","","","","","",""
"CDC Train Certificate_.png","false","false","","","","","","","",""
"CDC Train certificate_Advanced Legal Epidemiology.pdf","false","true","","","","","","","",""
"CDC Train_Legal Mapping_Certificate.pdf","false","true","","","","","","","",""
"CE_AMA-PRA_ABR for MCL_pedro-lamounier-sampaio-5b6fb732-334d-42da-8e39-9a41352e5c78-certificate.pdf","false","true","","","","","","","",""
"Certificado (JHU) - Data and Health Indicators in PHP_4OENNTDB8T8T.pdf","false","true","","","","","","","",""
"Certificado - Aplicação Injetáveis.pdf","false","false","","","","","","","",""
"Certificado - AudInt POP_Q_SVS_012___Auditoria_Interna_da_Qualidade,_versão_01-POP_Q_SVS_012,_versão_01_44359.pdf","false","true","","4","","","","","",""
"Certificado - Auditor Interno ISO 9101-2015 (SGS).pdf","false","true","","2","","","","","",""
"Certificado - Auditoria Interna - POP_Q_DVMC_007__Procedimento_de_Auditoria_Interna,_revisão_05-Certificado_44358.pdf","false","true","","6","","","","","",""
"Certificado - ComunidadePraticas_Estatistica_SP.pdf","false","true","","20","","","","","",""
"Certificado - Segurança no Trabalho - 2511120f38.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Certificado de Apresentação de Trabalho_CISMED.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Certificado de Capacitação_Sao Camilo_Saude Preventiva e Promocao de Saude.pdf","true","true","","40","","","","https://validadocs.posead.saocamilo.br","",""
"Certificado de conclusão - Curso POP-T-SVS-003.pdf","false","true","","20","","","","","",""
"Certificado de Monitoria - CISMED 2026.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Certificado de Participação - CISMED 2026.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Certificado de participação - Curso sobre tratamentos em DA - MyCme.pdf","false","true","","","","","","","",""
"Certificado do LinkedIn Learning - AI no Direito.pdf","false","true","","","","","","","",""
"Certificado do LinkedIn Learning.pdf","false","true","","","","","","","",""
"Certificado do LinkedIn Learning_ FluencIA_IA Generativa.pdf","false","true","","","","","","","",""
"Certificado do LinkedIn Learning_Care Coodination_transfers.pdf","false","true","","1","","","","","",""
"Certificado IDEA Assinado1.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Certificado Interno.pdf","false","true","","2","","","","","",""
"Certificado JHU Surveillance Systems_Analysis_Dissem._etc_G1M5TCCWR0EJ.pdf","false","true","","","","","","","",""
"Certificado JHU+Coursera SVWCQ560O1OU - Revenue Cycle, Billing and Coding.jpg","false","false","Revenue Cycle, Billing, and Coding","","6","","","","https://www.coursera.org/account/accomplishments/verify/SVWCQ560O1OU",""
"Certificado JHU+Coursera SVWCQ560O1OU - Revenue Cycle, Billing and Coding.pdf","false","true","Revenue Cycle, Billing, and Coding","","6","","","","https://www.coursera.org/account/accomplishments/verify/SVWCQ560O1OU",""
"Certificado Profissional JHU+Coursera P7PRAOBUU4L9 - JH Medical Office Manager (On-line).pdf","false","true","Johns Hopkins Medical Office Manager","3","72","72","6 meses com 3 por semana para concluir","https://www.coursera.org/account/accomplishments/professional-cert/P7PRAOBUU4L9","https://www.coursera.org/account/accomplishments/professional-cert/P7PRAOBUU4L9",""
"Certificado Profissional JHU+Coursera P7PRAOBUU4L9 - JH Medical Office Manager.pdf","false","true","Johns Hopkins Medical Office Manager","","72","72","6 meses com 3 por semana para concluir","","https://www.coursera.org/account/accomplishments/professional-cert/P7PRAOBUU4L9",""
"certificado-TP_ABEM_2026.pdf","false","true","","","","","","","",""
"Certificado_-_Curso_Ensino_Anatomia_assinado_assinado.pdf","true","true","","100","","","","","",""
"certificado_17844529367776.pdf","false","false","","","","","","","","PdfStreamError: Stream has ended unexpectedly"
"certificado_1f168e8a-ce80-6968-a4ab-a106190e8306 2.pdf","true","true","","","","","","","",""
"Certificado_Curso Prime_5S_13f47e11d2.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Certificado_Curso Prime_Gestão da Qualidade_4593e66fd1.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Certificado_Direito Aplicado na Saúde.pdf","false","true","","4","","","","","",""
"certificado_extensão_Segurança_Informação_Saúde.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Certificado_SSTS_Prime_83a2c2271b.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Certificado_SSTS_Prime_83a2c2271b_assinado.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"CertificadoIDEA assinado1a.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Certificate LinkedIn Learning.pdf","false","true","","2","","","","","",""
"Certificate of Achievment - Lead Auditor ISO 7101.pdf","false","true","","","","","","","",""
"Certificate_Healthcare Quality_WB.pdf","false","true","","","","","","","",""
"Certificate_ISO 19011_Auditor_Interno.pdf","false","true","","","","","","","",""
"Certificate_JHU_Surveillance System Building Blocks_MHMKZCH62LPX.pdf","false","true","","","","","","","",""
"certificate_th7woDcS1vgpdQ==.jpg","false","false","","","","","","","",""
"certification-ISO-9001%3A2015-Clause-by-Clause-Course-pedrolamouniersampaio.pdf","false","true","","","","","","","",""
"certiprof_BAPC_Professional Certificate.pdf","false","false","","","","","","","",""
"CGPC - MTF.pdf","false","true","","","","","","","",""
"CISMED 2026_Certificado_de_Submissão.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"cmeucert_20260702_042823.pdf","false","true","","","","","","","",""
"cmeucert_20260709_213610_ACLS.pdf","false","true","","","","","","","",""
"Cognitive health interview intiation w mid age_CME.pdf","false","true","","","","","","","",""
"Competency_Assessment_Tier-1_Pedro_Sampaio.pdf","false","true","","","","","","","",""
"Confirmation of Alpha certification form receivement.pdf","false","true","","","","","","","",""
"course_1000706_page_0.pdf","false","false","","","","","","","",""
"Coursera 4UIYZU51HN5L_JHU_Outbreaks and Epidemics.pdf","false","true","Outbreaks and Epidemics","1","5","","","","https://www.coursera.org/account/accomplishments/verify/4UIYZU51HN5L",""
"Coursera 8BH1XC5QBHPD_Specialization_Epidemiology and PHP.pdf","false","true","Epidemiology in Public Health Practice","","40","40","1 meses com 10 por semana para concluir","","https://www.coursera.org/account/accomplishments/specialization/8BH1XC5QBHPD",""
"Coursera CUX1XMF3YS8E_Leading HC Q-S_GWU.pdf","false","true","Leading Healthcare Quality and Safety","","13","","","","https://www.coursera.org/account/accomplishments/verify/CUX1XMF3YS8E",""
"Coursera+_Subscription Receipts.pdf","true","true","","","","","","","",""
"Coursera-Duke Certificate_TeleHealth KVF3XW2SP4BV.pdf","false","true","Telehealth Clinical Essentials","","2","","","","https://www.coursera.org/account/accomplishments/verify/KVF3XW2SP4BV",""
"Coursera-ICL_Quality Improvement Specialization_Certificate 2RUAK3DPGYVQ.pdf","false","true","Quality Improvement in Healthcare","","40","40","1 meses com 10 por semana para concluir","","https://www.coursera.org/account/accomplishments/specialization/2RUAK3DPGYVQ",""
"Coursera.ICL_ONCEZO8V6040_Intro to Quality Improvement in HC.pdf","false","true","Introduction to Quality Improvement in Healthcare","","21","","","","https://www.coursera.org/account/accomplishments/verify/ONCEZO8V6040",""
"Coursera_ICL_Certificate_Health Data Usage_V3XFWO53BYYT.pdf","false","true","Using Data for Healthcare Improvement","","15","","","","https://www.coursera.org/account/accomplishments/verify/V3XFWO53BYYT",""
"Creighton courses Transcript.pdf","true","true","","1","","","","","",""
"Creighton_Transcript_2026.08.17.pdf","true","true","","1","","","","","",""
